Price,Close,High,Low,Open,Volume
Ticker,BOVA11.SA,BOVA11.SA,BOVA11.SA,BOVA11.SA,BOVA11.SA
Date,,,,,
2025-01-02,117.0999984741211,117.70999908447266,116.11000061035156,117.19999694824219,6517660
2025-01-03,115.44999694824219,117.30999755859375,115.3499984741211,117.0,4414043
2025-01-06,117.06999969482422,117.2699966430664,116.41999816894531,116.66999816894531,4168578
2025-01-07,118.1500015258789,118.63999938964844,117.69999694824219,117.75,7383945
2025-01-08,116.66999816894531,117.73999786376953,116.31999969482422,117.7300033569336,3495340
2025-01-09,116.81999969482422,117.13999938964844,116.51000213623047,116.69000244140625,5919452
2025-01-10,115.95999908447266,116.9800033569336,115.7699966430664,116.9800033569336,3592912
2025-01-13,116.0199966430664,116.75,115.76000213623047,116.0199966430664,3718257
2025-01-14,116.45999908447266,116.51000213623047,115.26000213623047,116.0199966430664,3582816
2025-01-15,119.56999969482422,119.91999816894531,117.12000274658203,117.38999938964844,8644592
2025-01-16,118.33000183105469,119.33000183105469,117.73999786376953,119.33000183105469,7647777
2025-01-17,119.25,119.5999984741211,118.0,118.36000061035156,6997811
2025-01-20,119.80999755859375,120.16999816894531,118.44000244140625,118.93000030517578,4679447
2025-01-21,120.30000305175781,120.45999908447266,119.23999786376953,119.36000061035156,5793213
2025-01-22,119.91999816894531,120.8499984741211,119.80000305175781,120.54000091552734,4576819
2025-01-23,119.48999786376953,120.91000366210938,119.12000274658203,120.27999877929688,4066569
2025-01-24,119.44999694824219,119.87000274658203,119.16000366210938,119.43000030517578,5044118
2025-01-27,121.87000274658203,121.87000274658203,119.16999816894531,119.16999816894531,7409840
2025-01-28,121.02999877929688,121.80000305175781,120.87000274658203,121.5,2958806
2025-01-29,120.16999816894531,121.73999786376953,120.16999816894531,121.5,4311326
2025-01-30,123.94999694824219,124.05999755859375,121.1500015258789,121.1500015258789,16488642
2025-01-31,123.0,124.4000015258789,122.93000030517578,123.95999908447266,8503720
2025-02-03,122.63999938964844,123.37999725341797,122.4800033569336,122.88999938964844,3562259
2025-02-04,121.91000366210938,122.76000213623047,121.58000183105469,122.43000030517578,2660619
2025-02-05,122.37000274658203,122.7699966430664,121.54000091552734,122.22000122070312,4473279
2025-02-06,123.16000366210938,123.94999694824219,122.16000366210938,122.25,6981434
2025-02-07,121.4800033569336,123.47000122070312,121.16999816894531,123.05999755859375,6120942
2025-02-10,122.55000305175781,123.83999633789062,122.25,123.83999633789062,6481627
2025-02-11,123.44999694824219,123.79000091552734,122.56999969482422,122.69000244140625,7147384
2025-02-12,121.25,122.5999984741211,121.0199966430664,122.0999984741211,4593602
2025-02-13,121.68000030517578,121.75,120.68000030517578,121.1500015258789,3154628
2025-02-14,124.87000274658203,125.33000183105469,122.58000183105469,122.6500015258789,11048997
2025-02-17,125.25,126.37000274658203,125.25,125.27999877929688,5792507
2025-02-18,125.30000305175781,126.12999725341797,124.9000015258789,125.41999816894531,3443654
2025-02-19,124.01000213623047,124.83999633789062,123.88999938964844,124.30999755859375,3616668
2025-02-20,124.47000122070312,124.76000213623047,123.9000015258789,124.18000030517578,5140519
2025-02-21,123.94000244140625,124.4800033569336,123.33000183105469,124.19999694824219,4231262
2025-02-24,122.48999786376953,124.27999877929688,122.08999633789062,124.19999694824219,4477314
2025-02-25,122.83000183105469,123.66999816894531,122.5199966430664,122.80000305175781,3433189
2025-02-26,121.81999969482422,123.58000183105469,121.68000030517578,123.54000091552734,3745713
2025-02-27,121.75,122.7300033569336,121.30000305175781,121.5199966430664,3274651
2025-02-28,120.01000213623047,121.87000274658203,119.62000274658203,121.75,5463003
2025-03-05,120.05000305175781,120.5,119.79000091552734,120.01000213623047,1982232
2025-03-06,120.4000015258789,121.11000061035156,119.66999816894531,120.12999725341797,5149963
2025-03-07,121.94999694824219,122.7699966430664,119.30000305175781,119.62999725341797,4519840
2025-03-10,121.30000305175781,121.7699966430664,120.4000015258789,121.02999877929688,4547893
2025-03-11,120.55000305175781,121.41000366210938,119.5999984741211,121.30000305175781,3428352
2025-03-12,120.73999786376953,120.9800033569336,120.0199966430664,120.88999938964844,4720349
2025-03-13,122.51000213623047,122.73999786376953,120.51000213623047,120.73999786376953,5549188
2025-03-14,125.75,126.08000183105469,123.27999877929688,123.37000274658203,7213452
2025-03-17,127.76000213623047,128.1999969482422,125.83999633789062,126.0,4073001
2025-03-18,128.25999450683594,128.6999969482422,127.55000305175781,127.9000015258789,4801922
2025-03-19,129.60000610351562,129.86000061035156,128.38999938964844,128.5,7899333
2025-03-20,128.85000610351562,129.60000610351562,128.60000610351562,129.0500030517578,6757298
2025-03-21,128.97999572753906,129.44000244140625,128.5800018310547,128.88999938964844,5257169
2025-03-24,128.19000244140625,129.19000244140625,127.80000305175781,128.6300048828125,6358388
2025-03-25,129.0399932861328,130.22999572753906,128.22999572753906,128.39999389648438,6685920
2025-03-26,129.24000549316406,129.72999572753906,128.9600067138672,129.33999633789062,8570253
2025-03-27,129.77999877929688,130.58999633789062,129.25999450683594,129.39999389648438,6392746
2025-03-28,128.69000244140625,129.80999755859375,128.14999389648438,129.38999938964844,5515634
2025-03-31,127.30000305175781,128.0,127.01000213623047,127.93000030517578,6663067
2025-04-01,128.0399932861328,128.86000061035156,126.94000244140625,127.1500015258789,4683553
2025-04-02,128.89999389648438,128.89999389648438,127.23999786376953,128.0,4936701
2025-04-03,128.10000610351562,129.44000244140625,127.18000030517578,127.25,5193549
2025-04-04,124.05000305175781,126.76000213623047,123.47000122070312,125.41000366210938,17446784
2025-04-07,122.7300033569336,125.55000305175781,120.91999816894531,122.80999755859375,5994293
2025-04-08,121.04000091552734,124.68000030517578,120.48999786376953,123.52999877929688,6341511
2025-04-09,124.55000305175781,125.77999877929688,120.05999755859375,120.4000015258789,9471066
2025-04-10,123.41000366210938,124.58999633789062,121.93000030517578,124.26000213623047,4592067
2025-04-11,124.72000122070312,125.37999725341797,123.05000305175781,123.98999786376953,5170974
2025-04-14,126.41000366210938,126.94000244140625,125.3499984741211,126.22000122070312,4241669
2025-04-15,126.19999694824219,126.91999816894531,125.97000122070312,126.12000274658203,5049103
2025-04-16,125.27999877929688,126.41999816894531,124.93000030517578,125.93000030517578,9516436
2025-04-17,126.52999877929688,127.05999755859375,124.91000366210938,125.12999725341797,10332642
2025-04-22,127.33000183105469,127.83000183105469,125.5999984741211,126.25,5150618
2025-04-23,129.0800018310547,130.16000366210938,128.7100067138672,128.7100067138672,7829728
2025-04-24,131.3800048828125,131.6999969482422,128.66000366210938,129.60000610351562,10175544
2025-04-25,131.49000549316406,131.82000732421875,130.9499969482422,131.22999572753906,9907461
2025-04-28,131.64999389648438,132.4600067138672,131.4499969482422,131.58999633789062,6756509
2025-04-29,131.86000061035156,132.9199981689453,131.69000244140625,131.94000244140625,11331366
2025-04-30,131.6300048828125,132.05999755859375,130.72999572753906,131.1999969482422,9180293
2025-05-02,131.85000610351562,132.1199951171875,131.1699981689453,131.6199951171875,5741260
2025-05-05,130.33999633789062,132.10000610351562,130.27999877929688,131.7899932861328,3325658
2025-05-06,130.3800048828125,131.02999877929688,130.13999938964844,130.8699951171875,4659894
2025-05-07,130.2100067138672,130.99000549316406,129.72000122070312,130.94000244140625,3107370
2025-05-08,133.0399932861328,134.47000122070312,132.50999450683594,132.6300048828125,5772982
2025-05-09,133.24000549316406,134.02999877929688,132.9499969482422,133.5500030517578,7205629
2025-05-12,133.38999938964844,134.35000610351562,133.13999938964844,134.27999877929688,5031648
2025-05-13,135.61000061035156,136.27999877929688,133.77000427246094,133.89999389648438,10001857
2025-05-14,135.19000244140625,135.99000549316406,134.99000549316406,135.57000732421875,10297464
2025-05-15,136.07000732421875,136.44000244140625,135.1300048828125,135.14999389648438,6874103
2025-05-16,136.11000061035156,136.11000061035156,134.4499969482422,134.97999572753906,10660550
2025-05-19,136.4199981689453,136.97999572753906,135.3800048828125,135.6999969482422,4123908
2025-05-20,136.83999633789062,137.0500030517578,135.75,136.5399932861328,3465298
2025-05-21,134.58999633789062,136.4199981689453,134.33999633789062,136.38999938964844,3912091
